program_id,tcas_year,year_ce,seats,applicants,accepted,min_score,max_score
10020105301001E,68,2025,30,319,30,54.5274,63.6275
10020105301601A,63,2020,5,50,5,19206,20267.5
10020105301601A,64,2021,10,412,11,19620.9,20679.5
10020105301601A,65,2022,55,684,55,44.9059,54.4833
10020105301601A,66,2023,30,929,30,49.6,62.8997
10020105301601A,67,2024,20,1756,20,57.0666,70.3166
10020105301601A,68,2025,20,1110,20,62.1332,67.8332
10020105301601B,63,2020,10,57,10,17004.3,19006
10020105301601B,64,2021,65,187,67,3051.444444,5411.111111
10020105301601B,65,2022,60,283,60,33.7137,46.325
10020105301601B,66,2023,48,284,48,37.7666,49.3
